investigation_type,accident_number,event_date,location,country,injury_severity,aircraft_damage,aircraft_category,make,model,amateur_built,number_of_engines,engine_type,far_description,purpose_of_flight,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,weather_condition,Year,total_passengers,fatal_serious_injuries,fatal_serious_fraction,make_model
Incident,LAX83IA149A,1983-03-18,"LOS ANGELES, CA",United States,Incident,Minor,Airplane,Boeing,747,No,4.0,Turbo Fan,Part 129: Foreign,,0.0,0.0,0.0,588.0,VMC,1983,588.0,0.0,0.0,Boeing 747
Accident,ATL83FA140,1983-03-20,"CROSSVILLE, TN",United States,Fatal(1),Destroyed,Airplane,Piper,PA-28-140,No,1.0,Reciprocating,Part 91: General Aviation,Personal,1.0,1.0,0.0,0.0,IMC,1983,2.0,2.0,1.0,Piper PA-28-140
Accident,FTW83LA177,1983-04-02,"MCKINNEY, TX",United States,Fatal(1),,Airplane,De Havilland,DHC-6,No,2.0,Turbo Prop,Part 91: General Aviation,Skydiving,1.0,0.0,0.0,4.0,VMC,1983,5.0,1.0,0.2,De Havilland DHC-6
Incident,CHI84IA041,1983-11-08,"CHICAGO, IL",United States,Incident,Minor,Airplane,Boeing,727-200,No,3.0,Turbo Fan,Part 121: Air Carrier,Unknown,0.0,0.0,0.0,100.0,VMC,1983,100.0,0.0,0.0,Boeing 727-200
Accident,NYC84LA028,1983-11-13,"MARTHA'S VINEYARD, MA",United States,Non-Fatal,Substantial,Airplane,Beechcraft,C35,No,1.0,Reciprocating,Part 91: General Aviation,Personal,0.0,0.0,0.0,1.0,VMC,1983,1.0,0.0,0.0,Beechcraft C35
Accident,LAX84LA110,1983-12-22,"SANTA ROSA ISLAND, CA",United States,Non-Fatal,Substantial,Airplane,Cessna,180K,No,1.0,Reciprocating,Part 91: General Aviation,Personal,0.0,0.0,0.0,1.0,VMC,1983,1.0,0.0,0.0,Cessna 180K
Accident,ATL84LA120,1984-03-14,"MYRTLE BEACH, SC",United States,Non-Fatal,Substantial,Airplane,Beechcraft,99,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,Unknown,0.0,0.0,0.0,1.0,VMC,1984,1.0,0.0,0.0,Beechcraft 99
Accident,MIA84LA182,1984-06-11,"FT. LAUDERDALE, FL",United States,Non-Fatal,Substantial,Airplane,Piper,PA-23-250,No,2.0,Reciprocating,Part 91: General Aviation,Personal,0.0,0.0,0.0,4.0,VMC,1984,4.0,0.0,0.0,Piper PA-23-250
Accident,MKC84FA197,1984-07-03,"WRIGHT, AR",United States,Fatal(1),Destroyed,Airplane,Piper,PA-18-150,No,1.0,Reciprocating,Part 137: Agricultural,Aerial Application,1.0,0.0,0.0,0.0,VMC,1984,1.0,1.0,1.0,Piper PA-18-150
Accident,MKC85LA019,1984-11-09,"JUNCTION CITY, KS",United States,Non-Fatal,Substantial,Airplane,Cessna,R172E,No,1.0,Reciprocating,Part 91: General Aviation,Personal,0.0,0.0,0.0,1.0,VMC,1984,1.0,0.0,0.0,Cessna R172E
Accident,ATL85FA072,1984-12-30,"DUBLIN, VA",United States,Fatal(1),Destroyed,Airplane,Cessna,182A,No,1.0,Reciprocating,Part 91: General Aviation,Skydiving,1.0,0.0,0.0,0.0,VMC,1984,1.0,1.0,1.0,Cessna 182A
Accident,DEN85LA064,1985-01-14,"WAPITI, WY",United States,Non-Fatal,Destroyed,Airplane,Cessna,182Q,No,1.0,Reciprocating,Part 91: General Aviation,Personal,0.0,1.0,1.0,0.0,VMC,1985,2.0,1.0,0.5,Cessna 182Q
